Gravite,Meteo,Etat Surface,Etat Chaussee,Eclairage,count
Grave ou Mortel,Clair,Sèche,En bon état,Jour et demi-obscurité,91
Grave ou Mortel,Clair,Sèche,En bon état,Jour et demi-obscurité,3
Grave ou Mortel,Clair,Sèche,En bon état,Nuit et chemin éclairé,5
Grave ou Mortel,Clair,Sèche,En construction/en réparation,Jour et demi-obscurité,2
Grave ou Mortel,Clair,Mouillée,En bon état,Jour et demi-obscurité,4
Grave ou Mortel,Clair,Mouillée,En bon état,Nuit et chemin éclairé,2
Grave ou Mortel,Clair,Gadoue/neige fondante,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Clair,Gadoue/neige fondante,En bon état,Nuit et chemin éclairé,1
Grave ou Mortel,Clair,Enneigée,En bon état,Jour et demi-obscurité,3
Grave ou Mortel,Clair,Enneigée,En bon état,Nuit et chemin éclairé,1
Grave ou Mortel,Clair,Glacée,En bon état,Jour et demi-obscurité,2
Grave ou Mortel,Clair,Autre,Autre,Jour et demi-obscurité,1
Grave ou Mortel,Couvert (nuageux/sombre),Sèche,En bon état,Jour et demi-obscurité,16
Grave ou Mortel,Couvert (nuageux/sombre),Sèche,En bon état,Nuit et chemin éclairé,1
Grave ou Mortel,Couvert (nuageux/sombre),Sèche,Trous/nids-de-poule/cahots,Nuit et chemin non éclairé,1
Grave ou Mortel,Couvert (nuageux/sombre),Mouillée,En bon état,Jour et demi-obscurité,7
Grave ou Mortel,Couvert (nuageux/sombre),Mouillée,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Couvert (nuageux/sombre),Mouillée,En bon état,Nuit et chemin éclairé,3
Grave ou Mortel,Couvert (nuageux/sombre),Gadoue/neige fondante,Trous/nids-de-poule/cahots,Nuit et chemin éclairé,1
Grave ou Mortel,Couvert (nuageux/sombre),Enneigée,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Couvert (nuageux/sombre),Enneigée,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Couvert (nuageux/sombre),Enneigée,En bon état,Nuit et chemin éclairé,1
Grave ou Mortel,Pluie/bruine,Mouillée,En bon état,Jour et demi-obscurité,3
Grave ou Mortel,Pluie/bruine,Mouillée,En bon état,Nuit et chemin éclairé,1
Grave ou Mortel,Pluie/bruine,Mouillée,En bon état,Nuit et chemin non éclairé,1
Grave ou Mortel,Averse (pluie forte),Mouillée,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Averse (pluie forte),Accumulation d’eau (aquaplanage),En bon état,Jour et demi-obscurité,1
Grave ou Mortel,"Vent fort (pas de poudrerie, pas de pluie)",Mouillée,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Neige/grêle,Mouillée,En bon état,Jour et demi-obscurité,1
Grave ou Mortel,Neige/grêle,Mouillée,En bon état,Nuit et chemin éclairé,1
Grave ou Mortel,Neige/grêle,Enneigée,En bon état,Jour et demi-obscurité,2
Dommage matériel ou Léger,Clair,Sèche,En bon état,Jour et demi-obscurité,1175
Dommage matériel ou Léger,Clair,Sèche,En bon état,Jour et demi-obscurité,25
Dommage matériel ou Léger,Clair,Sèche,En bon état,Nuit et chemin éclairé,114
Dommage matériel ou Léger,Clair,Sèche,En bon état,Nuit et chemin non éclairé,4
Dommage matériel ou Léger,Clair,Sèche,En construction/en réparation,Jour et demi-obscurité,17
Dommage matériel ou Léger,Clair,Sèche,En construction/en réparation,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Clair,Sèche,En construction/en réparation,Nuit et chemin non éclairé,1
Dommage matériel ou Léger,Clair,Sèche,Trous/nids-de-poule/cahots,Jour et demi-obscurité,10
Dommage matériel ou Léger,Clair,Sèche,Trous/nids-de-poule/cahots,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Clair,Sèche,Autre,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Clair,Mouillée,En bon état,Jour et demi-obscurité,114
Dommage matériel ou Léger,Clair,Mouillée,En bon état,Jour et demi-obscurité,5
Dommage matériel ou Léger,Clair,Mouillée,En bon état,Nuit et chemin éclairé,21
Dommage matériel ou Léger,Clair,Mouillée,Trous/nids-de-poule/cahots,Jour et demi-obscurité,2
Dommage matériel ou Léger,Clair,Mouillée,Autre,Jour et demi-obscurité,2
Dommage matériel ou Léger,Clair,Accumulation d’eau (aquaplanage),En bon état,Jour et demi-obscurité,2
Dommage matériel ou Léger,Clair,"Sable, gravier sur la chaussée",En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,"Sable, gravier sur la chaussée",En construction/en réparation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,"Sable, gravier sur la chaussée",Trous/nids-de-poule/cahots,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,"Sable, gravier sur la chaussée",Dénivellation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Gadoue/neige fondante,En bon état,Jour et demi-obscurité,13
Dommage matériel ou Léger,Clair,Gadoue/neige fondante,En bon état,Nuit et chemin éclairé,2
Dommage matériel ou Léger,Clair,Gadoue/neige fondante,Trous/nids-de-poule/cahots,Jour et demi-obscurité,2
Dommage matériel ou Léger,Clair,Enneigée,En bon état,Jour et demi-obscurité,41
Dommage matériel ou Léger,Clair,Enneigée,En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Enneigée,En bon état,Nuit et chemin éclairé,17
Dommage matériel ou Léger,Clair,Enneigée,Autre,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Neige durcie,En bon état,Jour et demi-obscurité,10
Dommage matériel ou Léger,Clair,Neige durcie,En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Neige durcie,En bon état,Nuit et chemin éclairé,3
Dommage matériel ou Léger,Clair,Neige durcie,Trous/nids-de-poule/cahots,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Clair,Neige durcie,Autre,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Glacée,En bon état,Jour et demi-obscurité,23
Dommage matériel ou Léger,Clair,Glacée,En bon état,Nuit et chemin éclairé,2
Dommage matériel ou Léger,Clair,Glacée,En bon état,Nuit et chemin non éclairé,1
Dommage matériel ou Léger,Clair,Glacée,En construction/en réparation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Glacée,Autre,Jour et demi-obscurité,2
Dommage matériel ou Léger,Clair,Boueuse,En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Boueuse,En construction/en réparation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Boueuse,Dénivellation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Boueuse,Autre,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Autre,En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Autre,Dénivellation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,En bon état,Jour et demi-obscurité,188
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,En bon état,Jour et demi-obscurité,7
