TYPE_VEHICULE,Gravite,Configuration,Aspect route,count
CAMION,Grave ou Mortel,Sens unique,"Droit, plat",29
CAMION,Grave ou Mortel,Sens unique,"Droit, en haut de la pente",1
CAMION,Grave ou Mortel,Sens unique,"Droit, dans la pente",2
CAMION,Grave ou Mortel,une voie par direction,"Droit, plat",33
CAMION,Grave ou Mortel,une voie par direction,"Droit, dans la pente",1
CAMION,Grave ou Mortel,une voie par direction,"Droit, en bas de la pente (creux)",1
CAMION,Grave ou Mortel,une voie par direction,"Courbe, plat",1
CAMION,Grave ou Mortel,plus d’une voie par direction,"Droit, plat",65
CAMION,Grave ou Mortel,plus d’une voie par direction,"Droit, en haut de la pente",2
CAMION,Grave ou Mortel,plus d’une voie par direction,"Droit, en bas de la pente (creux)",1
CAMION,Grave ou Mortel,plus d’une voie par direction,"Courbe, plat",1
CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, plat",10
CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, dans la pente",1
CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, en bas de la pente (creux)",2
CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Droit, plat",8
CAMION,Grave ou Mortel,Autre,"Droit, plat",12
CAMION,Dommage matériel ou Léger,Sens unique,"Droit, plat",5627
CAMION,Dommage matériel ou Léger,Sens unique,"Droit, en haut de la pente",147
CAMION,Dommage matériel ou Léger,Sens unique,"Droit, dans la pente",295
CAMION,Dommage matériel ou Léger,Sens unique,"Droit, en bas de la pente (creux)",95
CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, plat",207
CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, en haut de la pente",29
CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, dans la pente",37
CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, en bas de la pente (creux)",13
CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, plat",4514
CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, en haut de la pente",57
CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, dans la pente",184
CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, en bas de la pente (creux)",44
CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, plat",93
CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, en haut de la pente",7
CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, dans la pente",7
CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, en bas de la pente (creux)",5
CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, plat",4821
CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, en haut de la pente",79
CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, dans la pente",128
CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, en bas de la pente (creux)",76
CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Courbe, plat",60
